Spanish,English
de,of
la,the
que,that
el,he
en,in
y,and
a,to
los,the
se,HE
del,of the
un,a
con,with
las,the
por,by
su,his
para,for
una,a
no,No
es,is
al,to the
como,as
lo,it
más,further
fue,was
ha,ha
sus,their
este,this
o,either
pero,but
años,years
esta,this
también,also
entre,between
le,you
está,this
ya,already
han,they have
dos,two
sobre,about
desde,from
ser,be
son,are
todo,all
hasta,until
muy,very
año,year
era,was
parte,part
tiene,has
sin,without
si,Yeah
personas,people
cuando,when
hay,there is
donde,where
dijo,said
después,after
porque,because
durante,during
puede,can
país,country
había,there was
todos,all
fueron,were
contra,against
primera,first
mismo,same
vez,time
embargo,embargo
millones,million
me,me
están,are
nos,us
uno,one
ciudad,city
ese,that
día,day
gran,great
sido,been
otros,others
tiempo,time
primer,first
nombre,name
solo,only
momento,moment
cada,each
tres,three
hace,does
forma,shape
hacer,do
lugar,place
días,days
así,So
e,and
presidente,president
pasado,past
vida,life
él,he
tras,after
Además,Besides
ante,in view of
eso,that
cuenta,account
quien,who
mayor,elderly
caso,case
tanto,so much
hecho,made
bien,good
ahora,now
horas,hours
menos,less
estos,these
otro,other
esa,that
cual,which
trabajo,job
antes,before
equipo,equipment
tener,have
nuevo,new
mejor,better
será,will be
mundo,world
mucho,a lot
mientras,while
según,according to
manera,manner
ella,she
pueden,they can
Gobierno,Government
aunque,although
grupo,cluster
semana,week
ni,neither
mi,my
tienen,have
estaba,was
partido,game
bajo,low
hoy,today
acuerdo,agreement
otras,others
hacia,toward
siglo,century
través,through
les,them
va,goes
encuentra,finds
estado,state
Nacional,National
qué,that
te,tea
siempre,always
situación,situation
algunos,some
esto,this
historia,history
mil,thousand
serie,series
luego,then
varios,several
final,end
número,number
importante,important
tuvo,had
poder,can
ver,see
meses,months
nueva,new
cuatro,four
ellos,they
debido,due
San,Saint
otra,other
algo,something
siendo,being
entonces,so
México,Mexico
estar,be
todas,all
Estados,States
junto,together
poco,bit
unos,some
sea,be
general,general
población,population
largo,long
estas,are
medio,half
eran,were
tenía,had
Ucrania,Ukraine
Unidos,Joined
España,Spain
sistema,system
muchos,many
seguridad,security
casos,cases
temporada,season
último,last
casa,home
tipo,guy
hizo,did
tarde,late
mujeres,women
Estados,States
Unidos,Joined
debe,has to
toda,all
muerte,death
mes,month
nivel,level
obra,construction site
euros,euros
zona,area
gente,people
sí,Yeah
fin,end
familia,family
juego,game
autoridades,authorities
cómo,as
principal,major
sociales,social
proyecto,project
misma,same
diferentes,different
tan,so
frente,forehead
álbum,album
nuestro,our
haber,have
tu,you
sino,but
padre,father
salud,health
sector,sector
mayoría,most
total,total
varias,several
Rusia,Russia
hombres,men
quienes,who
ello,it
segundo,second
mayo,May
proceso,process
casi,almost
persona,person
película,movie
viernes,Friday
nuestra,our
países,countries
lunes,Monday
redes,networks
comenzó,began
últimos,last
podría,could
puntos,points
dentro,inside
información,information
política,policy
siguiente,following
trata,treats
nada,nothing
banda,band
decir,say
carrera,career
partir,leave
agua,water
pesar,weigh
mujer,women
cinco,five
grandes,big
enero,January
octubre,October
dar,give
septiembre,September
diciembre,December
aún,still
segunda,second
veces,times
empresa,company
hijo,son
mañana,tomorrow
uso,use
junio,June
público,public
julio,July
producción,production
domingo,Sunday
jueves,Thursday
datos,data
algunas,some
cualquier,any
canción,song
The,The
pueblo,town
